time,x,y,z,roll,pitch,yaw
863.548,8.29396e-08,-8.96421e-08,7.21675e-08,-9.52853e-07,-9.89785e-07,1.76385e-07
863.549,8.23686e-08,-8.9002e-08,7.24103e-08,-9.46943e-07,-9.85193e-07,1.74851e-07
863.55,8.16527e-08,-8.85022e-08,7.33933e-08,-9.42616e-07,-9.79305e-07,1.69445e-07
863.551,8.08486e-08,-8.4271e-08,5.68715e-08,-9.30698e-07,-1.0031e-06,1.36797e-07
863.552,8.19903e-08,-8.33916e-08,6.83395e-08,-9.09574e-07,-1.04156e-06,1.68119e-07
863.553,8.05137e-08,-8.40407e-08,7.52461e-08,-9.21639e-07,-1.00994e-06,1.37085e-07
863.554,8.1279e-08,-8.3201e-08,5.81837e-08,-9.46737e-07,-1.04642e-06,1.11097e-07
863.555,8.265e-08,-8.2145e-08,7.07985e-08,-9.18214e-07,-1.08449e-06,1.48709e-07
863.556,8.03225e-08,-8.42708e-08,7.96738e-08,-9.59951e-07,-1.03779e-06,8.67889e-08
863.557,8.2507e-08,-9.07536e-08,6.15132e-08,-1.07424e-06,-1.08743e-06,7.13458e-08
863.558,8.2706e-08,-9.05455e-08,7.62061e-08,-1.08165e-06,-1.10654e-06,7.76554e-08
863.559,8.00032e-08,-9.32735e-08,8.6071e-08,-1.13029e-06,-1.04832e-06,2.88763e-09
863.56,8.25756e-08,-1.01167e-07,6.65695e-08,-1.25273e-06,-1.10006e-06,4.42894e-09
863.561,8.39531e-08,-1.00099e-07,8.14583e-08,-1.22641e-06,-1.13438e-06,4.29499e-08
863.562,8.18091e-08,-1.01804e-07,8.9679e-08,-1.24971e-06,-1.07717e-06,-1.07517e-08
863.563,8.33182e-08,-1.05683e-07,6.95527e-08,-1.31793e-06,-1.11343e-06,-6.64216e-09
863.564,8.49442e-08,-1.04423e-07,8.24238e-08,-1.27507e-06,-1.14302e-06,3.88137e-08
863.565,8.33614e-08,-1.05082e-07,8.92035e-08,-1.27486e-06,-1.08789e-06,6.41587e-09
863.566,8.34167e-08,-1.0519e-07,6.93249e-08,-1.29712e-06,-1.10611e-06,6.87127e-09
863.567,8.49622e-08,-1.03988e-07,8.02277e-08,-1.24746e-06,-1.12695e-06,5.01317e-08
863.568,8.38715e-08,-1.03762e-07,8.53297e-08,-1.22907e-06,-1.07478e-06,3.59765e-08
863.569,8.34966e-08,-1.02666e-07,8.4075e-08,-1.19996e-06,-1.05209e-06,4.31622e-08
863.57,8.10024e-08,-9.60797e-08,6.55613e-08,-1.1429e-06,-1.04243e-06,3.57632e-08
863.571,8.30571e-08,-9.45194e-08,7.1398e-08,-1.07422e-06,-1.06539e-06,9.17853e-08
863.572,8.34236e-08,-9.1792e-08,7.37846e-08,-1.00672e-06,-1.03596e-06,1.3016e-07
863.573,8.3504e-08,-8.99119e-08,7.2718e-08,-9.67977e-07,-1.02176e-06,1.53776e-07
863.574,8.33695e-08,-8.84456e-08,7.17419e-08,-9.4038e-07,-1.01007e-06,1.69018e-07
863.575,8.30011e-08,-8.74067e-08,7.12698e-08,-9.23475e-07,-9.99318e-07,1.75449e-07
863.576,8.23977e-08,-8.68101e-08,7.1322e-08,-9.17588e-07,-9.89432e-07,1.72898e-07
863.577,8.15478e-08,-8.65135e-08,7.22473e-08,-9.168e-07,-9.77723e-07,1.63068e-07
863.578,8.01969e-08,-8.29363e-08,5.60163e-08,-9.13433e-07,-9.93707e-07,1.31695e-07
863.579,8.16013e-08,-8.18545e-08,6.59476e-08,-8.77668e-07,-1.02968e-06,1.70225e-07
863.58,7.94981e-08,-8.35315e-08,7.44274e-08,-9.12662e-07,-9.8683e-07,1.17129e-07
863.581,7.9958e-08,-8.27526e-08,5.75862e-08,-9.39033e-07,-1.02068e-06,9.51157e-08
863.582,8.15483e-08,-8.15278e-08,6.89788e-08,-9.02926e-07,-1.06089e-06,1.38742e-07
863.583,7.97318e-08,-8.27788e-08,7.71852e-08,-9.27616e-07,-1.02209e-06,9.52854e-08
863.584,8.15765e-08,-8.64524e-08,5.95981e-08,-1.00752e-06,-1.06875e-06,7.79415e-08
863.585,8.19764e-08,-8.60596e-08,7.33997e-08,-1.00925e-06,-1.09199e-06,9.02137e-08
863.586,7.9412e-08,-8.85746e-08,8.33563e-08,-1.05568e-06,-1.03824e-06,2.01109e-08
863.587,8.21587e-08,-9.66003e-08,6.43977e-08,-1.18242e-06,-1.09291e-06,1.816e-08
