time,x,y,z,roll,pitch,yaw
863.548,0.394565,0.00186287,0.433945,-1.57074,-0.00253758,1.57211
863.549,0.394566,0.00186254,0.433944,-1.57074,-0.00239451,1.57213
863.55,0.394567,0.00186229,0.433944,-1.57074,-0.00218884,1.57215
863.551,0.394568,0.0018621,0.433943,-1.57073,-0.00193082,1.57219
863.552,0.394568,0.00186196,0.433941,-1.57073,-0.00163339,1.57222
863.553,0.394569,0.00186198,0.43394,-1.57073,-0.00131098,1.57227
863.554,0.39457,0.00186209,0.433939,-1.57072,-0.000979761,1.57231
863.555,0.39457,0.00186227,0.433938,-1.57071,-0.000656277,1.57235
863.556,0.394571,0.00186252,0.433937,-1.57071,-0.00035667,1.57239
863.557,0.394571,0.00186284,0.433936,-1.57071,-9.59283e-05,1.57243
863.558,0.394571,0.00186317,0.433935,-1.5707,0.000112732,1.57246
863.559,0.394571,0.00186353,0.433935,-1.5707,0.000258903,1.57248
863.56,0.394571,0.00186389,0.433935,-1.5707,0.000335329,1.57249
863.561,0.394571,0.00186421,0.433935,-1.5707,0.000338207,1.5725
863.562,0.39457,0.00186451,0.433936,-1.5707,0.000267644,1.5725
863.563,0.39457,0.00186478,0.433937,-1.57071,0.000127377,1.57248
863.564,0.39457,0.00186497,0.433938,-1.57071,-7.55173e-05,1.57246
863.565,0.394569,0.00186509,0.433939,-1.57072,-0.000330735,1.57243
863.566,0.394568,0.001865,0.43394,-1.57072,-0.00062605,1.57239
863.567,0.394567,0.00186474,0.433941,-1.57073,-0.000946738,1.57234
863.568,0.394566,0.00186441,0.433942,-1.57073,-0.00127675,1.5723
863.569,0.394565,0.00186405,0.433943,-1.57073,-0.00159974,1.57225
863.57,0.394565,0.00186367,0.433944,-1.57073,-0.00189979,1.57221
863.571,0.394564,0.00186326,0.433944,-1.57074,-0.00216206,1.57217
863.572,0.394564,0.00186285,0.433945,-1.57074,-0.00237327,1.57214
863.573,0.394564,0.00186248,0.433945,-1.57074,-0.00252279,1.57212
863.574,0.394564,0.00186217,0.433945,-1.57074,-0.00260307,1.57211
863.575,0.394564,0.00186191,0.433945,-1.57074,-0.00261007,1.57211
863.576,0.394565,0.00186172,0.433945,-1.57074,-0.00254344,1.57211
863.577,0.394565,0.00186158,0.433944,-1.57074,-0.00240656,1.57213
863.578,0.394566,0.00186151,0.433944,-1.57074,-0.00220631,1.57215
863.579,0.394567,0.00186148,0.433943,-1.57073,-0.00195278,1.57219
863.58,0.394568,0.0018615,0.433942,-1.57073,-0.00165859,1.57222
863.581,0.394569,0.00186167,0.43394,-1.57073,-0.00133803,1.57226
863.582,0.39457,0.0018619,0.433939,-1.57072,-0.00100733,1.57231
863.583,0.39457,0.00186222,0.433938,-1.57072,-0.000682885,1.57235
863.584,0.394571,0.00186261,0.433937,-1.57071,-0.000380972,1.57239
863.585,0.394571,0.00186304,0.433936,-1.57071,-0.000116841,1.57242
863.586,0.394571,0.00186351,0.433936,-1.5707,9.62048e-05,1.57245
863.587,0.394571,0.001864,0.433935,-1.5707,0.000247403,1.57247
863.588,0.394571,0.00186447,0.433935,-1.5707,0.000329056,1.57249
863.589,0.394571,0.00186492,0.433935,-1.5707,0.000337229,1.5725
863.59,0.39457,0.00186535,0.433936,-1.5707,0.000271699,1.57249
863.591,0.39457,0.00186571,0.433937,-1.57071,0.000135874,1.57248
863.592,0.394569,0.00186602,0.433937,-1.57071,-6.31577e-05,1.57246
863.593,0.394569,0.00186627,0.433938,-1.57071,-0.000315246,1.57244
863.594,0.394568,0.00186641,0.433939,-1.57072,-0.000607776,1.5724
863.595,0.394567,0.00186638,0.433941,-1.57072,-0.000926329,1.57236
863.596,0.394566,0.00186626,0.433942,-1.57073,-0.00125482,1.57231
863.597,0.394566,0.00186604,0.433943,-1.57073,-0.00157708,1.57227
863.598,0.394565,0.00186575,0.433944,-1.57074,-0.00187706,1.57223
863.599,0.394564,0.00186541,0.433944,-1.57074,-0.00213995,1.57219
863.6,0.394564,0.00186505,0.433945,-1.57074,-0.00235269,1.57215
863.601,0.394564,0.00186468,0.433945,-1.57074,-0.00250485,1.57213
863.602,0.394564,0.00186432,0.433945,-1.57074,-0.00258896,1.57211
863.603,0.394564,0.001864,0.433945,-1.57074,-0.00260093,1.57211
863.604,0.394565,0.00186373,0.433945,-1.57074,-0.00254022,1.57211
863.605,0.394565,0.00186351,0.433944,-1.57074,-0.00240989,1.57213
863.606,0.394566,0.00186337,0.433944,-1.57074,-0.00221641,1.57215
863.607,0.394567,0.00186331,0.433943,-1.57073,-0.0019694,1.57218
863.608,0.394568,0.00186331,0.433942,-1.57073,-0.00168118,1.57222
863.609,0.394569,0.00186344,0.433941,-1.57073,-0.00136573,1.57226
863.61,0.39457,0.00186367,0.433939,-1.57072,-0.0010388,1.57231
863.611,0.39457,0.00186394,0.433938,-1.57072,-0.000716607,1.57236
863.612,0.394571,0.00186427,0.433938,-1.57071,-0.000415089,1.5724
863.613,0.394571,0.00186466,0.433937,-1.57071,-0.000149191,1.57243
863.614,0.394571,0.00186506,0.433936,-1.57071,6.76875e-05,1.57246
863.615,0.394571,0.00186547,0.433936,-1.5707,0.000224732,1.57249
863.616,0.394571,0.0018659,0.433935,-1.5707,0.000314083,1.5725
863.617,0.394571,0.00186628,0.433935,-1.5707,0.000331182,1.57251
863.618,0.39457,0.00186662,0.433936,-1.5707,0.000275296,1.5725
863.619,0.39457,0.00186693,0.433936,-1.57071,0.000149304,1.57249
863.62,0.394569,0.00186716,0.433937,-1.57071,-4.05278e-05,1.57247
863.621,0.394569,0.00186731,0.433938,-1.57071,-0.000284613,1.57244
863.622,0.394568,0.00186723,0.433939,-1.57072,-0.000571355,1.5724
863.623,0.394567,0.00186705,0.43394,-1.57072,-0.00088614,1.57236
863.624,0.394566,0.00186677,0.433941,-1.57073,-0.00121346,1.57231
863.625,0.394566,0.00186642,0.433942,-1.57073,-0.00153709,1.57226
863.626,0.394565,0.00186602,0.433943,-1.57073,-0.0018409,1.57222
863.627,0.394565,0.00186557,0.433944,-1.57074,-0.00210985,1.57219
863.628,0.394564,0.00186511,0.433945,-1.57074,-0.00233035,1.57215
863.629,0.394564,0.00186466,0.433945,-1.57074,-0.0024913,1.57213
863.63,0.394564,0.00186423,0.433945,-1.57074,-0.00258461,1.57212
863.631,0.394564,0.00186384,0.433945,-1.57074,-0.00260562,1.57211
863.632,0.394565,0.00186349,0.433945,-1.57074,-0.00255331,1.57212
863.633,0.394565,0.00186319,0.433944,-1.57074,-0.00243035,1.57213
863.634,0.394566,0.00186294,0.433944,-1.57074,-0.00224293,1.57215
863.635,0.394567,0.00186273,0.433943,-1.57073,-0.0020005,1.57218
863.636,0.394567,0.00186259,0.433942,-1.57073,-0.0017151,1.57222
863.637,0.394568,0.0018626,0.433941,-1.57073,-0.00140062,1.57226
863.638,0.394569,0.00186268,0.43394,-1.57072,-0.00107294,1.5723
863.639,0.39457,0.00186284,0.433939,-1.57072,-0.000748269,1.57235
863.64,0.394571,0.00186306,0.433938,-1.57071,-0.000442803,1.57239
863.641,0.394571,0.00186333,0.433937,-1.57071,-0.000171866,1.57242
863.642,0.394571,0.00186364,0.433936,-1.57071,5.0976e-05,1.57245
863.643,0.394571,0.00186398,0.433936,-1.57071,0.000214514,1.57247
863.644,0.394571,0.00186431,0.433936,-1.5707,0.000310431,1.57249
863.645,0.394571,0.00186462,0.433936,-1.5707,0.000334043,1.5725
863.646,0.394571,0.00186491,0.433936,-1.5707,0.000284293,1.5725
863.647,0.39457,0.00186514,0.433936,-1.57071,0.000163725,1.57249
863.648,0.394569,0.00186532,0.433937,-1.57071,-2.1402e-05,1.57247
863.649,0.394569,0.00186545,0.433938,-1.57071,-0.000261691,1.57244
863.65,0.394568,0.00186547,0.433939,-1.57072,-0.000545164,1.5724
863.651,0.394567,0.00186532,0.43394,-1.57072,-0.00085794,1.57236
863.652,0.394566,0.00186508,0.433941,-1.57073,-0.00118425,1.57232
863.653,0.394565,0.00186474,0.433942,-1.57073,-0.00150805,1.57227
863.654,0.394565,0.00186434,0.433943,-1.57073,-0.0018132,1.57223
863.655,0.394564,0.0018639,0.433944,-1.57073,-0.00208465,1.57219
863.656,0.394564,0.00186343,0.433944,-1.57074,-0.00230892,1.57215
863.657,0.394564,0.00186297,0.433945,-1.57074,-0.0024748,1.57212
863.658,0.394564,0.00186255,0.433945,-1.57074,-0.0025741,1.57211
863.659,0.394564,0.00186217,0.433945,-1.57074,-0.00260194,1.5721
863.66,0.394565,0.00186185,0.433945,-1.57074,-0.00255701,1.5721
863.661,0.394565,0.00186159,0.433945,-1.57074,-0.0024416,1.57212
863.662,0.394566,0.0018614,0.433944,-1.57074,-0.00226147,1.57214
863.663,0.394567,0.00186129,0.433943,-1.57074,-0.00202558,1.57217
863.664,0.394568,0.00186125,0.433942,-1.57073,-0.00174567,1.57221
863.665,0.394569,0.00186136,0.433941,-1.57073,-0.00143522,1.57225
863.666,0.394569,0.00186157,0.43394,-1.57072,-0.00110972,1.5723
863.667,0.39457,0.00186186,0.433939,-1.57072,-0.000785284,1.57234
863.668,0.39457,0.0018622,0.433938,-1.57071,-0.000477972,1.57238
863.669,0.394571,0.00186261,0.433937,-1.57071,-0.000203021,1.57242
863.67,0.394571,0.00186305,0.433936,-1.57071,2.56655e-05,1.57245
863.671,0.394571,0.00186351,0.433936,-1.5707,0.000196614,1.57248
863.672,0.394571,0.00186398,0.433935,-1.5707,0.000301187,1.57249
863.673,0.394571,0.00186442,0.433935,-1.5707,0.000334002,1.5725
863.674,0.394571,0.00186483,0.433936,-1.5707,0.000293507,1.5725
863.675,0.39457,0.00186521,0.433936,-1.57071,0.000181817,1.57249
863.676,0.39457,0.00186552,0.433937,-1.57071,4.50874e-06,1.57247
863.677,0.394569,0.00186577,0.433938,-1.57071,-0.000229414,1.57244
863.678,0.394568,0.00186595,0.433939,-1.57072,-0.000508223,1.57241
863.679,0.394567,0.00186594,0.43394,-1.57072,-0.000818468,1.57236
863.68,0.394566,0.00186582,0.433941,-1.57073,-0.00114448,1.57232
863.681,0.394566,0.00186562,0.433942,-1.57073,-0.00147011,1.57227
863.682,0.394565,0.00186535,0.433943,-1.57073,-0.00177925,1.57223
863.683,0.394564,0.00186501,0.433944,-1.57073,-0.00205658,1.57219
863.684,0.394564,0.00186465,0.433944,-1.57074,-0.00228818,1.57216
863.685,0.394564,0.00186427,0.433945,-1.57074,-0.00246255,1.57213
863.686,0.394564,0.0018639,0.433945,-1.57074,-0.00257098,1.57211
863.687,0.394564,0.00186356,0.433945,-1.57074,-0.00260806,1.57211
863.688,0.394564,0.00186326,0.433945,-1.57074,-0.00257191,1.57211
863.689,0.394565,0.00186302,0.433945,-1.57074,-0.0024643,1.57212
863.69,0.394566,0.00186284,0.433944,-1.57074,-0.00229058,1.57214
863.691,0.394567,0.00186274,0.433943,-1.57074,-0.00205936,1.57217
863.692,0.394568,0.0018627,0.433942,-1.57073,-0.00178222,1.57221
863.693,0.394569,0.00186282,0.433941,-1.57073,-0.00147254,1.57225
863.694,0.39457,0.00186305,0.43394,-1.57073,-0.00114583,1.5723
863.695,0.39457,0.00186334,0.433939,-1.57072,-0.000818353,1.57234
863.696,0.394571,0.00186369,0.433938,-1.57072,-0.000506387,1.57238
863.697,0.394571,0.00186411,0.433937,-1.57071,-0.000225444,1.57242
863.698,0.394571,0.00186456,0.433936,-1.57071,1.02417e-05,1.57245
863.699,0.394571,0.00186502,0.433936,-1.5707,0.000188833,1.57248
