time,x,y,z,roll,pitch,yaw
863.548,0.108262,-0.00537853,0.691404,1.57129,-0.611155,0.00123205
863.549,0.108263,-0.00537884,0.691404,1.57129,-0.611154,0.00122526
863.55,0.108264,-0.00537938,0.691404,1.57128,-0.611153,0.00121564
863.551,0.108265,-0.00538012,0.691403,1.57128,-0.611152,0.00120327
863.552,0.108266,-0.00538086,0.691403,1.57128,-0.61115,0.00118985
863.553,0.108267,-0.00538176,0.691403,1.57128,-0.611148,0.00117475
863.554,0.108268,-0.00538288,0.691402,1.57128,-0.611146,0.00115903
863.555,0.108269,-0.00538413,0.691402,1.57127,-0.611144,0.00114465
863.556,0.10827,-0.00538549,0.691402,1.57127,-0.611142,0.00113143
863.557,0.10827,-0.00538683,0.691402,1.57127,-0.611141,0.0011195
863.558,0.108271,-0.00538795,0.691402,1.57127,-0.61114,0.00111051
863.559,0.108271,-0.00538884,0.691402,1.57127,-0.611139,0.00110385
863.56,0.108271,-0.00538943,0.691402,1.57127,-0.611139,0.00109944
863.561,0.10827,-0.00538964,0.691402,1.57127,-0.61114,0.00109884
863.562,0.10827,-0.00538959,0.691402,1.57127,-0.61114,0.00110114
863.563,0.108269,-0.00538931,0.691402,1.57128,-0.611142,0.00110611
863.564,0.108269,-0.00538875,0.691402,1.57128,-0.611143,0.00111487
863.565,0.108268,-0.00538804,0.691403,1.57128,-0.611145,0.00112613
863.566,0.108267,-0.00538719,0.691403,1.57128,-0.611146,0.00114
863.567,0.108265,-0.0053861,0.691403,1.57128,-0.611147,0.00115629
863.568,0.108264,-0.00538486,0.691404,1.57129,-0.611149,0.0011726
863.569,0.108263,-0.00538352,0.691404,1.57129,-0.611151,0.00118809
863.57,0.108262,-0.00538213,0.691404,1.57129,-0.611153,0.00120166
863.571,0.108261,-0.00538075,0.691404,1.57129,-0.611155,0.00121354
863.572,0.10826,-0.00537968,0.691405,1.57129,-0.611155,0.00122253
863.573,0.10826,-0.00537895,0.691405,1.57129,-0.611156,0.00122863
863.574,0.10826,-0.00537858,0.691405,1.57129,-0.611155,0.00123165
863.575,0.108261,-0.00537854,0.691404,1.57129,-0.611155,0.00123151
863.576,0.108261,-0.00537878,0.691404,1.57129,-0.611154,0.00122824
863.577,0.108262,-0.00537924,0.691404,1.57129,-0.611154,0.001222
863.578,0.108263,-0.00537983,0.691404,1.57129,-0.611153,0.00121267
863.579,0.108265,-0.00538053,0.691403,1.57128,-0.611152,0.00120157
863.58,0.108266,-0.00538123,0.691403,1.57128,-0.61115,0.00118875
863.581,0.108267,-0.00538201,0.691403,1.57128,-0.611148,0.00117389
863.582,0.108268,-0.00538293,0.691403,1.57128,-0.611146,0.00115951
863.583,0.108269,-0.00538405,0.691402,1.57127,-0.611144,0.0011457
863.584,0.10827,-0.00538529,0.691402,1.57127,-0.611143,0.00113272
863.585,0.10827,-0.00538649,0.691402,1.57127,-0.611142,0.00112223
863.586,0.108271,-0.00538759,0.691402,1.57127,-0.611141,0.0011137
863.587,0.108271,-0.00538847,0.691402,1.57127,-0.61114,0.00110699
863.588,0.108271,-0.005389,0.691402,1.57127,-0.61114,0.00110366
863.589,0.10827,-0.00538927,0.691402,1.57127,-0.61114,0.00110286
863.59,0.10827,-0.00538926,0.691402,1.57128,-0.61114,0.00110446
863.591,0.108269,-0.00538895,0.691402,1.57128,-0.611141,0.00110981
863.592,0.108268,-0.00538848,0.691402,1.57128,-0.611143,0.00111784
863.593,0.108268,-0.00538784,0.691403,1.57128,-0.611144,0.00112804
863.594,0.108267,-0.00538699,0.691403,1.57128,-0.611146,0.00114118
863.595,0.108265,-0.00538603,0.691403,1.57128,-0.611148,0.00115619
863.596,0.108264,-0.00538492,0.691403,1.57129,-0.611149,0.00117152
863.597,0.108263,-0.00538363,0.691404,1.57129,-0.611151,0.00118737
863.598,0.108262,-0.00538229,0.691404,1.57129,-0.611152,0.00120208
863.599,0.108261,-0.00538098,0.691404,1.57129,-0.611154,0.00121506
863.6,0.108261,-0.00537994,0.691404,1.57129,-0.611155,0.00122559
863.601,0.10826,-0.00537912,0.691405,1.57129,-0.611155,0.00123337
863.602,0.108261,-0.00537854,0.691405,1.57129,-0.611155,0.00123785
863.603,0.108261,-0.00537821,0.691405,1.57129,-0.611155,0.00123878
863.604,0.108261,-0.00537815,0.691404,1.57129,-0.611154,0.00123615
863.605,0.108262,-0.00537837,0.691404,1.57129,-0.611154,0.00123012
863.606,0.108263,-0.00537886,0.691404,1.57129,-0.611153,0.00122106
863.607,0.108264,-0.00537959,0.691403,1.57128,-0.611152,0.00120905
863.608,0.108266,-0.00538052,0.691403,1.57128,-0.61115,0.0011956
863.609,0.108267,-0.00538152,0.691403,1.57128,-0.611149,0.00118043
863.61,0.108268,-0.00538266,0.691403,1.57128,-0.611147,0.00116434
863.611,0.108269,-0.00538388,0.691402,1.57127,-0.611145,0.00114945
863.612,0.10827,-0.0053852,0.691402,1.57127,-0.611143,0.00113575
863.613,0.10827,-0.00538649,0.691402,1.57127,-0.611142,0.00112347
863.614,0.108271,-0.0053876,0.691402,1.57127,-0.611141,0.00111432
863.615,0.108271,-0.00538851,0.691402,1.57127,-0.61114,0.0011077
863.616,0.108271,-0.00538913,0.691402,1.57127,-0.61114,0.00110347
863.617,0.108271,-0.00538937,0.691402,1.57127,-0.61114,0.00110312
863.618,0.10827,-0.00538934,0.691402,1.57128,-0.611141,0.00110565
863.619,0.108269,-0.00538905,0.691402,1.57128,-0.611142,0.00111073
863.62,0.108269,-0.00538847,0.691402,1.57128,-0.611142,0.00111947
863.621,0.108268,-0.00538773,0.691403,1.57128,-0.611144,0.00113056
863.622,0.108267,-0.00538685,0.691403,1.57128,-0.611145,0.00114421
863.623,0.108265,-0.00538575,0.691403,1.57128,-0.611146,0.00115974
