time,x,y,z,roll,pitch,yaw
863.548,1.32445e-06,-0.00537625,0.28481,-1.57078,0.260248,2.08315e-05
863.549,1.32673e-06,-0.00537625,0.28481,-1.57078,0.26025,1.78133e-05
863.55,1.32415e-06,-0.00537626,0.28481,-1.57078,0.260253,1.32019e-05
863.551,1.14634e-06,-0.00537618,0.28481,-1.57078,0.260256,3.75375e-06
863.552,1.16995e-06,-0.0053763,0.28481,-1.57078,0.260259,1.02354e-06
863.553,1.21766e-06,-0.00537635,0.28481,-1.57078,0.260261,-5.68951e-06
863.554,1.0331e-06,-0.00537627,0.28481,-1.57078,0.260264,-1.85842e-05
863.555,1.0467e-06,-0.00537638,0.28481,-1.57078,0.260266,-2.61725e-05
863.556,1.10365e-06,-0.00537647,0.28481,-1.57078,0.260268,-3.57456e-05
863.557,9.15878e-07,-0.00537642,0.28481,-1.57078,0.260269,-4.94966e-05
863.558,9.4894e-07,-0.00537658,0.28481,-1.57078,0.26027,-5.43776e-05
863.559,1.03882e-06,-0.00537667,0.28481,-1.57078,0.26027,-5.91605e-05
863.56,8.75481e-07,-0.00537661,0.28481,-1.57078,0.26027,-6.65606e-05
863.561,9.28285e-07,-0.00537675,0.28481,-1.57078,0.26027,-6.37802e-05
863.562,1.04168e-06,-0.0053768,0.28481,-1.57078,0.260268,-6.15801e-05
863.563,9.04588e-07,-0.00537669,0.28481,-1.57078,0.260267,-6.24645e-05
863.564,9.71764e-07,-0.00537678,0.28481,-1.57078,0.260265,-5.44145e-05
863.565,1.0918e-06,-0.00537679,0.28481,-1.57078,0.260263,-4.74693e-05
863.566,9.74438e-07,-0.00537666,0.28481,-1.57078,0.26026,-4.39372e-05
863.567,1.04662e-06,-0.00537671,0.28481,-1.57078,0.260257,-3.22716e-05
863.568,1.16265e-06,-0.00537669,0.28481,-1.57078,0.260254,-2.14785e-05
863.569,1.22297e-06,-0.00537664,0.28481,-1.57078,0.260251,-1.10256e-05
863.57,1.11964e-06,-0.00537649,0.28481,-1.57078,0.260249,-3.53777e-06
863.571,1.17198e-06,-0.00537647,0.28481,-1.57078,0.260246,8.20047e-06
863.572,1.2326e-06,-0.00537638,0.28481,-1.57078,0.260245,1.50258e-05
863.573,1.26223e-06,-0.00537632,0.28481,-1.57078,0.260244,1.94113e-05
863.574,1.27775e-06,-0.00537627,0.28481,-1.57078,0.260245,2.11435e-05
863.575,1.28463e-06,-0.00537625,0.28481,-1.57078,0.260246,2.04933e-05
863.576,1.28714e-06,-0.00537624,0.28481,-1.57078,0.260247,1.79536e-05
863.577,1.28652e-06,-0.00537625,0.28481,-1.57078,0.260249,1.40743e-05
863.578,1.12018e-06,-0.00537617,0.28481,-1.57078,0.260252,6.04459e-06
863.579,1.13043e-06,-0.00537625,0.28481,-1.57078,0.260255,2.16895e-06
863.58,1.20449e-06,-0.00537633,0.28481,-1.57078,0.260258,-1.32569e-06
863.581,1.04001e-06,-0.00537625,0.28481,-1.57078,0.260261,-1.10801e-05
863.582,1.06236e-06,-0.00537634,0.28481,-1.57078,0.260263,-1.64842e-05
863.583,1.12339e-06,-0.00537641,0.28481,-1.57078,0.260266,-2.45253e-05
863.584,9.42475e-07,-0.00537635,0.28481,-1.57078,0.260268,-3.78425e-05
863.585,9.72175e-07,-0.00537649,0.28481,-1.57078,0.260269,-4.3851e-05
863.586,1.05547e-06,-0.00537659,0.28481,-1.57078,0.26027,-5.05607e-05
863.587,8.85828e-07,-0.00537654,0.28481,-1.57078,0.260271,-6.03239e-05
863.588,9.33315e-07,-0.00537669,0.28481,-1.57078,0.26027,-5.99746e-05
863.589,1.04173e-06,-0.00537676,0.28481,-1.57078,0.260269,-6.0043e-05
863.59,8.96983e-07,-0.00537666,0.28481,-1.57078,0.260268,-6.30274e-05
863.591,9.59195e-07,-0.00537676,0.28481,-1.57078,0.260267,-5.67804e-05
863.592,1.07435e-06,-0.00537679,0.28481,-1.57078,0.260264,-5.16405e-05
863.593,9.48634e-07,-0.00537666,0.28481,-1.57078,0.260263,-4.98717e-05
863.594,1.01671e-06,-0.00537673,0.28481,-1.57078,0.26026,-3.99873e-05
863.595,1.13277e-06,-0.00537672,0.28481,-1.57078,0.260257,-3.12794e-05
863.596,1.02651e-06,-0.00537659,0.28481,-1.57078,0.260255,-2.56283e-05
863.597,1.09596e-06,-0.00537662,0.28481,-1.57078,0.260252,-1.29466e-05
863.598,1.20389e-06,-0.00537658,0.28481,-1.57078,0.260249,-1.90589e-06
863.599,1.26377e-06,-0.00537652,0.28481,-1.57078,0.260247,7.98389e-06
863.6,1.28429e-06,-0.00537642,0.28481,-1.57078,0.260246,1.40844e-05
863.601,1.31317e-06,-0.00537637,0.28481,-1.57078,0.260245,1.95675e-05
863.602,1.33187e-06,-0.00537632,0.28481,-1.57078,0.260245,2.32035e-05
863.603,1.34083e-06,-0.00537628,0.28481,-1.57078,0.260246,2.47741e-05
863.604,1.34335e-06,-0.00537625,0.28481,-1.57078,0.260247,2.42973e-05
863.605,1.34056e-06,-0.00537624,0.28481,-1.57078,0.260249,2.17267e-05
863.606,1.33182e-06,-0.00537624,0.28481,-1.57078,0.260251,1.71812e-05
863.607,1.15328e-06,-0.00537615,0.28481,-1.57078,0.260255,7.68028e-06
863.608,1.15232e-06,-0.00537623,0.28481,-1.57078,0.260257,1.77237e-06
863.609,1.2132e-06,-0.00537632,0.28481,-1.57078,0.26026,-4.335e-06
863.61,1.03242e-06,-0.00537625,0.28481,-1.57078,0.260263,-1.69854e-05
863.611,1.04954e-06,-0.00537637,0.28481,-1.57078,0.260266,-2.41803e-05
863.612,1.11191e-06,-0.00537646,0.28481,-1.57078,0.260268,-3.32337e-05
863.613,9.27883e-07,-0.00537641,0.28481,-1.57078,0.26027,-4.66271e-05
863.614,9.64169e-07,-0.00537657,0.28481,-1.57078,0.26027,-5.14039e-05
863.615,1.05619e-06,-0.00537667,0.28481,-1.57078,0.260271,-5.63069e-05
863.616,8.92171e-07,-0.0053766,0.28481,-1.57078,0.260271,-6.39745e-05
863.617,9.45334e-07,-0.00537674,0.28481,-1.57078,0.26027,-6.13732e-05
863.618,1.05879e-06,-0.0053768,0.28481,-1.57078,0.260268,-5.92444e-05
863.619,9.21062e-07,-0.00537669,0.28481,-1.57078,0.260267,-6.00575e-05
863.62,9.87165e-07,-0.00537678,0.28481,-1.57078,0.260265,-5.18508e-05
863.621,1.10488e-06,-0.00537679,0.28481,-1.57078,0.260263,-4.47425e-05
863.622,9.87094e-07,-0.00537665,0.28481,-1.57078,0.26026,-4.11036e-05
863.623,1.05699e-06,-0.0053767,0.28481,-1.57078,0.260257,-2.94949e-05
863.624,1.17131e-06,-0.00537668,0.28481,-1.57078,0.260254,-1.89962e-05
863.625,1.2307e-06,-0.00537663,0.28481,-1.57078,0.260252,-9.01748e-06
863.626,1.12657e-06,-0.00537648,0.28481,-1.57078,0.26025,-2.04187e-06
863.627,1.18169e-06,-0.00537647,0.28481,-1.57078,0.260248,9.43051e-06
863.628,1.24739e-06,-0.00537639,0.28481,-1.57078,0.260246,1.62313e-05
863.629,1.2804e-06,-0.00537633,0.28481,-1.57078,0.260246,2.07283e-05
863.63,1.29929e-06,-0.00537629,0.28481,-1.57078,0.260246,2.28472e-05
863.631,1.30844e-06,-0.00537626,0.28481,-1.57078,0.260246,2.27709e-05
863.632,1.31134e-06,-0.00537625,0.28481,-1.57078,0.260247,2.08672e-05
863.633,1.30908e-06,-0.00537625,0.28481,-1.57078,0.260249,1.7566e-05
863.634,1.14261e-06,-0.00537617,0.28481,-1.57078,0.260251,1.0045e-05
863.635,1.15034e-06,-0.00537624,0.28481,-1.57078,0.260254,6.63377e-06
863.636,1.19282e-06,-0.00537628,0.28481,-1.57078,0.260256,3.84984e-07
863.637,1.03494e-06,-0.00537623,0.28481,-1.57078,0.260259,-8.91017e-06
863.638,1.05668e-06,-0.00537633,0.28481,-1.57078,0.260262,-1.43676e-05
863.639,1.11792e-06,-0.00537639,0.28481,-1.57078,0.260264,-2.26127e-05
863.64,9.38342e-07,-0.00537633,0.28481,-1.57078,0.260267,-3.60665e-05
863.641,9.68139e-07,-0.00537648,0.28481,-1.57078,0.260269,-4.23959e-05
863.642,1.05212e-06,-0.00537658,0.28481,-1.57078,0.26027,-4.958e-05
863.643,8.81787e-07,-0.00537652,0.28481,-1.57078,0.260271,-5.9987e-05
863.644,9.29825e-07,-0.00537668,0.28481,-1.57078,0.260271,-6.02806e-05
863.645,1.04001e-06,-0.00537676,0.28481,-1.57078,0.26027,-6.09669e-05
863.646,8.93552e-07,-0.00537667,0.28481,-1.57078,0.260269,-6.45056e-05
863.647,9.56353e-07,-0.00537677,0.28481,-1.57078,0.260267,-5.85306e-05
863.648,1.07213e-06,-0.0053768,0.28481,-1.57078,0.260265,-5.35857e-05
863.649,9.44474e-07,-0.00537667,0.28481,-1.57078,0.260263,-5.19821e-05
863.65,1.01056e-06,-0.00537674,0.28481,-1.57078,0.26026,-4.22349e-05
863.651,1.12396e-06,-0.00537673,0.28481,-1.57078,0.260258,-3.37334e-05
863.652,1.01521e-06,-0.00537659,0.28481,-1.57078,0.260255,-2.83118e-05
863.653,1.08214e-06,-0.00537662,0.28481,-1.57078,0.260252,-1.58295e-05
863.654,1.18873e-06,-0.00537659,0.28481,-1.57078,0.26025,-4.93182e-06
863.655,1.2475e-06,-0.00537653,0.28481,-1.57078,0.260248,4.7774e-06
863.656,1.29929e-06,-0.00537648,0.28481,-1.57078,0.260246,1.42399e-05
863.657,1.30799e-06,-0.00537638,0.28481,-1.57078,0.260245,1.8848e-05
863.658,1.32403e-06,-0.00537632,0.28481,-1.57078,0.260245,2.20133e-05
863.659,1.33375e-06,-0.00537628,0.28481,-1.57078,0.260246,2.30692e-05
863.66,1.336e-06,-0.00537626,0.28481,-1.57078,0.260248,2.19992e-05
863.661,1.33346e-06,-0.00537625,0.28481,-1.57078,0.260249,1.9051e-05
863.662,1.32536e-06,-0.00537625,0.28481,-1.57078,0.260251,1.44669e-05
863.663,1.14651e-06,-0.00537617,0.28481,-1.57078,0.260254,5.18804e-06
863.664,1.14249e-06,-0.00537624,0.28481,-1.57078,0.260257,-6.29993e-07
863.665,1.20123e-06,-0.00537633,0.28481,-1.57078,0.260259,-6.37455e-06
863.666,1.0211e-06,-0.00537626,0.28481,-1.57078,0.260262,-1.85734e-05
863.667,1.03459e-06,-0.00537637,0.28481,-1.57078,0.260264,-2.56594e-05
863.668,1.09243e-06,-0.00537645,0.28481,-1.57078,0.260266,-3.48045e-05
863.669,9.07903e-07,-0.0053764,0.28481,-1.57078,0.260269,-4.8361e-05
863.67,9.38213e-07,-0.00537657,0.28481,-1.57078,0.26027,-5.29965e-05
863.671,1.02943e-06,-0.00537667,0.28481,-1.57078,0.26027,-5.83268e-05
863.672,8.68304e-07,-0.00537661,0.28481,-1.57078,0.260271,-6.61377e-05
863.673,9.26848e-07,-0.00537675,0.28481,-1.57078,0.26027,-6.33717e-05
863.674,1.04656e-06,-0.00537681,0.28481,-1.57078,0.260269,-6.09865e-05
863.675,9.11907e-07,-0.0053767,0.28481,-1.57078,0.260268,-6.16131e-05
863.676,9.81793e-07,-0.00537678,0.28481,-1.57078,0.260266,-5.33223e-05
863.677,1.10133e-06,-0.00537679,0.28481,-1.57078,0.260264,-4.63928e-05
863.678,9.81596e-07,-0.00537666,0.28481,-1.57078,0.260262,-4.30993e-05
863.679,1.05036e-06,-0.0053767,0.28481,-1.57078,0.260259,-3.23655e-05
863.68,1.16157e-06,-0.00537669,0.28481,-1.57078,0.260255,-2.28694e-05
863.681,1.05728e-06,-0.00537654,0.28481,-1.57078,0.260253,-1.66592e-05
863.682,1.12324e-06,-0.00537655,0.28481,-1.57078,0.26025,-4.55756e-06
863.683,1.22257e-06,-0.00537651,0.28481,-1.57078,0.260247,6.03249e-06
863.684,1.24834e-06,-0.00537641,0.28481,-1.57078,0.260246,1.18403e-05
863.685,1.28134e-06,-0.00537636,0.28481,-1.57078,0.260245,1.73289e-05
863.686,1.30306e-06,-0.00537631,0.28481,-1.57078,0.260245,2.09581e-05
863.687,1.31436e-06,-0.00537628,0.28481,-1.57078,0.260245,2.25284e-05
863.688,1.32001e-06,-0.00537625,0.28481,-1.57078,0.260246,2.21892e-05
863.689,1.32138e-06,-0.00537624,0.28481,-1.57078,0.260248,1.99735e-05
863.69,1.31768e-06,-0.00537624,0.28481,-1.57078,0.260251,1.60234e-05
863.691,1.14474e-06,-0.00537616,0.28481,-1.57078,0.260254,7.31702e-06
863.692,1.14869e-06,-0.00537624,0.28481,-1.57078,0.260256,2.29376e-06
863.693,1.21433e-06,-0.00537632,0.28481,-1.57078,0.260259,-2.81124e-06
863.694,1.03821e-06,-0.00537625,0.28481,-1.57078,0.260262,-1.46335e-05
863.695,1.05561e-06,-0.00537636,0.28481,-1.57078,0.260265,-2.15319e-05
863.696,1.11594e-06,-0.00537644,0.28481,-1.57078,0.260267,-3.05754e-05
863.697,9.3135e-07,-0.00537639,0.28481,-1.57078,0.260269,-4.42153e-05
863.698,9.64621e-07,-0.00537655,0.28481,-1.57078,0.26027,-4.95313e-05
863.699,1.05323e-06,-0.00537665,0.28481,-1.57078,0.26027,-5.50153e-05
863.7,8.87739e-07,-0.00537658,0.28481,-1.57078,0.260271,-6.32192e-05
863.701,9.39296e-07,-0.00537673,0.28481,-1.57078,0.26027,-6.11265e-05
863.702,1.05168e-06,-0.00537679,0.28481,-1.57078,0.260269,-5.94534e-05
863.703,9.13108e-07,-0.00537668,0.28481,-1.57078,0.260268,-6.07156e-05
863.704,9.79153e-07,-0.00537677,0.28481,-1.57078,0.260266,-5.29596e-05
863.705,1.09753e-06,-0.00537678,0.28481,-1.57078,0.260264,-4.63494e-05
863.706,9.78468e-07,-0.00537665,0.28481,-1.57078,0.260262,-4.31536e-05
863.707,1.04997e-06,-0.00537671,0.28481,-1.57078,0.260259,-3.22718e-05
863.708,1.16586e-06,-0.00537669,0.28481,-1.57078,0.260256,-2.25179e-05
863.709,1.06412e-06,-0.00537655,0.28481,-1.57078,0.260254,-1.60263e-05
863.71,1.13431e-06,-0.00537656,0.28481,-1.57078,0.260251,-3.57615e-06
863.711,1.23748e-06,-0.00537652,0.28481,-1.57078,0.260248,7.30692e-06
863.712,1.26604e-06,-0.00537642,0.28481,-1.57078,0.260246,1.34199e-05
863.713,1.29751e-06,-0.00537636,0.28481,-1.57078,0.260245,1.88667e-05
863.714,1.31611e-06,-0.00537631,0.28481,-1.57078,0.260245,2.2282e-05
863.715,1.32317e-06,-0.00537627,0.28481,-1.57078,0.260245,2.35348e-05
863.716,1.32388e-06,-0.00537625,0.28481,-1.57078,0.260246,2.28357e-05
863.717,1.32032e-06,-0.00537624,0.28481,-1.57078,0.260247,2.02941e-05
863.718,1.31237e-06,-0.00537624,0.28481,-1.57078,0.26025,1.61058e-05
863.719,1.13843e-06,-0.00537616,0.28481,-1.57078,0.260253,7.31153e-06
863.72,1.14011e-06,-0.00537623,0.28481,-1.57078,0.260255,2.2275e-06
863.721,1.20446e-06,-0.00537632,0.28481,-1.57078,0.260258,-2.87422e-06
863.722,1.02996e-06,-0.00537625,0.28481,-1.57078,0.260262,-1.46185e-05
863.723,1.04892e-06,-0.00537636,0.28481,-1.57078,0.260265,-2.14828e-05
863.724,1.1118e-06,-0.00537644,0.28481,-1.57078,0.260267,-3.05148e-05
863.725,9.28885e-07,-0.00537639,0.28481,-1.57078,0.260269,-4.41927e-05
863.726,9.65148e-07,-0.00537655,0.28481,-1.57078,0.260271,-4.95192e-05
863.727,1.05672e-06,-0.00537665,0.28481,-1.57078,0.260271,-5.50441e-05
863.728,8.91133e-07,-0.00537659,0.28481,-1.57078,0.260271,-6.336e-05
863.729,9.43179e-07,-0.00537673,0.28481,-1.57078,0.26027,-6.13731e-05
863.73,1.0544e-06,-0.00537679,0.28481,-1.57078,0.260269,-5.98977e-05
863.731,9.13157e-07,-0.00537668,0.28481,-1.57078,0.260268,-6.14545e-05
863.732,9.75509e-07,-0.00537677,0.28481,-1.57078,0.260266,-5.41006e-05
863.733,1.08904e-06,-0.00537678,0.28481,-1.57078,0.260263,-4.79534e-05
863.734,9.66603e-07,-0.00537665,0.28481,-1.57078,0.260261,-4.52241e-05
863.735,1.03417e-06,-0.0053767,0.28481,-1.57078,0.260259,-3.48227e-05
863.736,1.1473e-06,-0.00537669,0.28481,-1.57078,0.260256,-2.54622e-05
863.737,1.04456e-06,-0.00537655,0.28481,-1.57078,0.260254,-1.92258e-05
863.738,1.11493e-06,-0.00537656,0.28481,-1.57078,0.260251,-6.86918e-06
863.739,1.21921e-06,-0.00537652,0.28481,-1.57078,0.260248,3.92741e-06
863.74,1.27894e-06,-0.00537647,0.28481,-1.57078,0.260246,1.33216e-05
863.741,1.2935e-06,-0.00537637,0.28481,-1.57078,0.260245,1.79095e-05
863.742,1.31127e-06,-0.00537631,0.28481,-1.57078,0.260245,2.1032e-05
863.743,1.31957e-06,-0.00537628,0.28481,-1.57078,0.260245,2.19321e-05
863.744,1.32005e-06,-0.00537625,0.28481,-1.57078,0.260246,2.07998e-05
863.745,1.31673e-06,-0.00537625,0.28481,-1.57078,0.260248,1.80342e-05
863.746,1.30942e-06,-0.00537625,0.28481,-1.57078,0.26025,1.3937e-05
863.747,1.13557e-06,-0.00537617,0.28481,-1.57078,0.260252,5.4721e-06
863.748,1.13539e-06,-0.00537624,0.28481,-1.57078,0.260255,6.45581e-07
863.749,1.19843e-06,-0.00537632,0.28481,-1.57078,0.260258,-4.02883e-06
863.75,1.02495e-06,-0.00537625,0.28481,-1.57078,0.260261,-1.53025e-05
863.751,1.04189e-06,-0.00537635,0.28481,-1.57078,0.260264,-2.19837e-05
863.752,1.10228e-06,-0.00537643,0.28481,-1.57078,0.260266,-3.09976e-05
863.753,9.19522e-07,-0.00537638,0.28481,-1.57078,0.260269,-4.47297e-05
863.754,9.55767e-07,-0.00537654,0.28481,-1.57078,0.260271,-5.01592e-05
863.755,1.0493e-06,-0.00537664,0.28481,-1.57078,0.260271,-5.56801e-05
863.756,8.85971e-07,-0.00537659,0.28481,-1.57078,0.260272,-6.38638e-05
