time,x,y,z,roll,pitch,yaw
863.548,0.555689,0.0681344,0.434052,1.59944,1.56905,1.60098
863.549,0.555694,0.0681302,0.434041,1.60307,1.56919,1.60468
863.55,0.555697,0.0681292,0.434027,1.60982,1.5694,1.61149
863.551,0.555698,0.0681311,0.434008,1.62162,1.56966,1.62335
863.552,0.555698,0.068136,0.433987,1.64462,1.56995,1.64639
863.553,0.555695,0.0681438,0.433963,1.7001,1.57027,1.70189
863.554,0.55569,0.0681539,0.433939,1.94088,1.5706,1.94269
863.555,0.555684,0.0681657,0.433916,-2.08887,1.57064,-2.08706
863.556,0.555677,0.0681788,0.433894,-1.75853,1.57035,-1.75674
863.557,0.555668,0.0681924,0.433876,-1.69479,1.57009,-1.69304
863.558,0.55566,0.0682061,0.433861,-1.66998,1.56989,-1.66827
863.559,0.555651,0.0682191,0.43385,-1.65824,1.56974,-1.65658
863.56,0.555643,0.0682309,0.433845,-1.65257,1.56966,-1.65097
863.561,0.555635,0.0682408,0.433845,-1.65145,1.56966,-1.6499
863.562,0.555629,0.0682483,0.433851,-1.65456,1.56973,-1.65306
863.563,0.555624,0.0682532,0.433861,-1.66303,1.56987,-1.66158
863.564,0.555621,0.0682549,0.433877,-1.68267,1.57007,-1.68127
863.565,0.55562,0.0682534,0.433895,-1.73325,1.57033,-1.7319
863.566,0.555621,0.0682481,0.433917,-1.9685,1.57062,-1.96721
863.567,0.555624,0.0682397,0.43394,1.9716,1.57063,1.97283
863.568,0.555628,0.0682289,0.433963,1.69851,1.57031,1.69971
863.569,0.555634,0.0682163,0.433986,1.64539,1.56999,1.64657
863.57,0.555641,0.0682027,0.434007,1.62384,1.56969,1.62502
863.571,0.555649,0.0681884,0.434025,1.61251,1.56943,1.61372
863.572,0.555658,0.0681744,0.43404,1.60558,1.56921,1.60683
863.573,0.555667,0.0681612,0.434051,1.60116,1.56907,1.60247
863.574,0.555675,0.0681495,0.434056,1.59873,1.56899,1.6001
863.575,0.555683,0.06814,0.434057,1.59822,1.56898,1.59967
863.576,0.555689,0.068133,0.434052,1.59978,1.56905,1.6013
863.577,0.555694,0.0681289,0.434042,1.60369,1.56918,1.60529
863.578,0.555697,0.0681279,0.434027,1.61046,1.56938,1.61213
863.579,0.555698,0.0681299,0.434009,1.62217,1.56963,1.62389
863.58,0.555698,0.0681348,0.433988,1.64391,1.56993,1.64568
863.581,0.555695,0.0681428,0.433965,1.69366,1.57025,1.69546
863.582,0.55569,0.068153,0.433942,1.89284,1.57057,1.89465
863.583,0.555684,0.0681649,0.433918,-2.17611,1.57066,-2.1743
863.584,0.555677,0.0681781,0.433897,-1.7632,1.57038,-1.76141
863.585,0.555669,0.0681919,0.433878,-1.69495,1.57012,-1.69319
863.586,0.55566,0.0682057,0.433862,-1.66931,1.5699,-1.6676
863.587,0.555651,0.0682188,0.433852,-1.65699,1.56975,-1.65533
863.588,0.555643,0.0682307,0.433846,-1.6515,1.56967,-1.6499
863.589,0.555636,0.0682408,0.433846,-1.65051,1.56966,-1.64897
863.59,0.555629,0.0682486,0.433851,-1.65346,1.56973,-1.65197
863.591,0.555624,0.0682536,0.433861,-1.66246,1.56986,-1.66102
863.592,0.555621,0.0682557,0.433875,-1.6826,1.57006,-1.68121
863.593,0.55562,0.0682546,0.433894,-1.73194,1.57031,-1.7306
863.594,0.555621,0.0682504,0.433915,-1.94769,1.5706,-1.94638
863.595,0.555623,0.068243,0.433938,2.04466,1.57065,2.04592
863.596,0.555628,0.068233,0.433961,1.70829,1.57033,1.70952
863.597,0.555633,0.068221,0.433984,1.64757,1.57001,1.64878
863.598,0.55564,0.0682076,0.434006,1.62393,1.56971,1.62514
863.599,0.555648,0.0681934,0.434024,1.6121,1.56945,1.61332
863.6,0.555657,0.0681793,0.434039,1.60548,1.56924,1.60673
863.601,0.555665,0.0681659,0.434049,1.60169,1.56908,1.60298
863.602,0.555674,0.0681538,0.434055,1.59975,1.569,1.6011
863.603,0.555681,0.0681438,0.434056,1.59938,1.56899,1.6008
863.604,0.555688,0.0681364,0.434051,1.60067,1.56905,1.60216
863.605,0.555693,0.0681318,0.434042,1.60404,1.56918,1.60561
863.606,0.555696,0.0681303,0.434028,1.61035,1.56937,1.61198
863.607,0.555698,0.068132,0.43401,1.62127,1.56962,1.62298
863.608,0.555697,0.0681367,0.43399,1.64185,1.56991,1.64361
863.609,0.555695,0.0681444,0.433967,1.68832,1.57022,1.69012
863.61,0.555691,0.0681546,0.433944,1.85376,1.57054,1.85559
863.611,0.555685,0.0681666,0.433921,-2.35018,1.57069,-2.34835
863.612,0.555678,0.0681798,0.433899,-1.77683,1.57041,-1.77501
863.613,0.55567,0.0681936,0.43388,-1.69772,1.57015,-1.69593
863.614,0.555661,0.0682075,0.433865,-1.66968,1.56993,-1.66794
863.615,0.555652,0.0682207,0.433854,-1.65726,1.56978,-1.65557
863.616,0.555644,0.0682327,0.433847,-1.65165,1.56969,-1.65002
863.617,0.555636,0.0682428,0.433846,-1.65073,1.56967,-1.64917
863.618,0.555629,0.0682506,0.43385,-1.65388,1.56972,-1.65238
863.619,0.555624,0.0682557,0.43386,-1.66196,1.56985,-1.66052
863.62,0.555621,0.0682578,0.433874,-1.68007,1.57004,-1.67869
863.621,0.555619,0.0682567,0.433891,-1.72409,1.57028,-1.72276
863.622,0.55562,0.0682519,0.433912,-1.89124,1.57056,-1.88996
863.623,0.555622,0.0682442,0.433935,2.20972,1.57068,2.21095
863.624,0.555626,0.0682341,0.433958,1.72687,1.57037,1.72807
863.625,0.555632,0.068222,0.433981,1.6559,1.57005,1.6571
863.626,0.55564,0.0682087,0.434002,1.62846,1.56975,1.62967
863.627,0.555648,0.0681945,0.434022,1.6143,1.56948,1.61553
863.628,0.555656,0.0681804,0.434037,1.60595,1.56926,1.60721
863.629,0.555665,0.0681669,0.434049,1.60096,1.5691,1.60227
863.63,0.555673,0.0681547,0.434055,1.59845,1.569,1.59982
863.631,0.555681,0.0681445,0.434057,1.59808,1.56898,1.59952
863.632,0.555688,0.0681367,0.434053,1.59971,1.56904,1.60122
863.633,0.555693,0.0681317,0.434044,1.60343,1.56916,1.60501
863.634,0.555696,0.0681298,0.43403,1.60962,1.56935,1.61126
863.635,0.555698,0.0681309,0.434013,1.62009,1.56959,1.62178
863.636,0.555697,0.068135,0.433992,1.63908,1.56987,1.64082
863.637,0.555695,0.0681423,0.43397,1.68045,1.57018,1.68223
863.638,0.555691,0.0681521,0.433946,1.81931,1.57051,1.82112
863.639,0.555685,0.0681637,0.433923,-2.60713,1.57071,-2.60532
863.64,0.555678,0.0681767,0.433901,-1.79215,1.57044,-1.79034
863.641,0.55567,0.0681904,0.433882,-1.70216,1.57017,-1.70038
863.642,0.555662,0.0682041,0.433866,-1.67097,1.56995,-1.66923
863.643,0.555653,0.0682173,0.433855,-1.65646,1.56979,-1.65477
863.644,0.555645,0.0682292,0.433848,-1.65008,1.56969,-1.64844
863.645,0.555637,0.0682394,0.433846,-1.64876,1.56967,-1.64719
863.646,0.55563,0.0682473,0.43385,-1.65153,1.56972,-1.65002
863.647,0.555625,0.0682525,0.433859,-1.66003,1.56984,-1.65858
863.648,0.555622,0.0682547,0.433872,-1.67831,1.57002,-1.67692
863.649,0.55562,0.0682539,0.433889,-1.72003,1.57026,-1.71869
863.65,0.555621,0.0682498,0.43391,-1.86905,1.57054,-1.86776
863.651,0.555623,0.0682425,0.433932,2.40486,1.5707,2.40611
863.652,0.555627,0.0682326,0.433956,1.74178,1.5704,1.74299
863.653,0.555632,0.0682207,0.433979,1.66024,1.57008,1.66144
863.654,0.555639,0.0682073,0.434,1.63084,1.56977,1.63204
863.655,0.555647,0.0681932,0.434019,1.61625,1.5695,1.61747
863.656,0.555656,0.068179,0.434035,1.60783,1.56928,1.60908
863.657,0.555665,0.0681654,0.434047,1.60261,1.56911,1.60391
863.658,0.555673,0.068153,0.434054,1.59954,1.56901,1.60089
863.659,0.555681,0.0681426,0.434056,1.59827,1.56899,1.59969
863.66,0.555688,0.0681346,0.434053,1.59886,1.56903,1.60035
863.661,0.555693,0.0681294,0.434045,1.60162,1.56915,1.60318
863.662,0.555697,0.0681272,0.434032,1.60724,1.56933,1.60887
863.663,0.555698,0.0681283,0.434015,1.61704,1.56956,1.61874
863.664,0.555698,0.0681323,0.433995,1.63509,1.56984,1.63683
863.665,0.555696,0.0681396,0.433972,1.67367,1.57015,1.67546
863.666,0.555692,0.0681494,0.433949,1.79043,1.57047,1.79224
863.667,0.555686,0.0681611,0.433926,-3.04148,1.57072,-3.03966
863.668,0.555679,0.0681742,0.433904,-1.8158,1.57047,-1.81399
863.669,0.555671,0.068188,0.433884,-1.7089,1.5702,-1.70712
863.67,0.555663,0.068202,0.433868,-1.67453,1.56997,-1.67279
863.671,0.555654,0.0682155,0.433856,-1.65952,1.5698,-1.65782
863.672,0.555645,0.0682279,0.433848,-1.6524,1.5697,-1.65076
863.673,0.555638,0.0682386,0.433846,-1.65032,1.56967,-1.64874
863.674,0.555631,0.0682469,0.433849,-1.65227,1.56971,-1.65075
863.675,0.555626,0.0682526,0.433857,-1.65877,1.56982,-1.65731
863.676,0.555622,0.0682553,0.43387,-1.674,1.56999,-1.67261
863.677,0.55562,0.0682549,0.433887,-1.71001,1.57023,-1.70866
863.678,0.55562,0.0682514,0.433907,-1.82832,1.5705,-1.82702
863.679,0.555622,0.0682444,0.43393,2.79382,1.57072,2.79507
863.68,0.555626,0.0682348,0.433953,1.76037,1.57044,1.76159
863.681,0.555632,0.0682231,0.433976,1.66548,1.57012,1.66667
863.682,0.555638,0.0682099,0.433998,1.63328,1.56981,1.63447
863.683,0.555646,0.0681958,0.434017,1.61773,1.56953,1.61894
863.684,0.555655,0.0681817,0.434034,1.60885,1.5693,1.61009
863.685,0.555663,0.068168,0.434046,1.60348,1.56913,1.60476
863.686,0.555672,0.0681557,0.434054,1.60034,1.56902,1.60168
863.687,0.55568,0.0681453,0.434057,1.59897,1.56898,1.60039
863.688,0.555687,0.0681372,0.434054,1.59931,1.56902,1.6008
863.689,0.555692,0.0681319,0.434046,1.60156,1.56912,1.60313
863.69,0.555696,0.0681297,0.434034,1.60628,1.5693,1.60792
863.691,0.555698,0.0681306,0.434018,1.61463,1.56953,1.61633
863.692,0.555698,0.0681344,0.433998,1.63022,1.56981,1.63197
863.693,0.555696,0.0681415,0.433976,1.66357,1.57011,1.66537
863.694,0.555692,0.0681511,0.433952,1.75988,1.57044,1.7617
863.695,0.555687,0.0681627,0.433929,2.80056,1.57072,2.80239
863.696,0.55568,0.0681755,0.433906,-1.83169,1.5705,-1.82988
863.697,0.555672,0.0681892,0.433886,-1.71179,1.57022,-1.71
863.698,0.555663,0.0682031,0.433869,-1.67584,1.56999,-1.6741
863.699,0.555654,0.0682165,0.433856,-1.66066,1.56981,-1.65898
863.7,0.555646,0.0682289,0.433848,-1.65371,1.5697,-1.65208
863.701,0.555638,0.0682396,0.433845,-1.65186,1.56966,-1.65029
863.702,0.555631,0.0682482,0.433847,-1.65396,1.56969,-1.65245
863.703,0.555625,0.0682542,0.433855,-1.66031,1.5698,-1.65885
863.704,0.555622,0.0682572,0.433868,-1.67461,1.56997,-1.67321
863.705,0.55562,0.0682571,0.433884,-1.70724,1.5702,-1.70589
863.706,0.55562,0.0682538,0.433905,-1.80722,1.57047,-1.80591
863.707,0.555622,0.0682472,0.433927,-3.02059,1.57072,-3.01933
863.708,0.555625,0.0682377,0.433951,1.77841,1.57047,1.77964
863.709,0.555631,0.0682261,0.433974,1.66807,1.57015,1.66928
863.71,0.555638,0.0682129,0.433996,1.63325,1.56983,1.63445
863.711,0.555645,0.0681987,0.434016,1.61702,1.56955,1.61823
863.712,0.555654,0.0681843,0.434033,1.60797,1.56931,1.60921
863.713,0.555663,0.0681704,0.434046,1.60261,1.56913,1.60389
863.714,0.555671,0.0681576,0.434054,1.59956,1.56902,1.60089
863.715,0.555679,0.0681467,0.434057,1.59835,1.56897,1.59975
863.716,0.555686,0.0681381,0.434055,1.59889,1.569,1.60036
863.717,0.555691,0.0681324,0.434048,1.60133,1.5691,1.60287
863.718,0.555695,0.0681297,0.434036,1.60616,1.56927,1.60778
863.719,0.555698,0.0681301,0.43402,1.61439,1.5695,1.61607
863.72,0.555698,0.0681336,0.434,1.62927,1.56977,1.63101
863.721,0.555696,0.0681404,0.433978,1.66017,1.57008,1.66197
863.722,0.555693,0.0681499,0.433954,1.74475,1.57041,1.74658
863.723,0.555687,0.0681612,0.433931,2.48435,1.57071,2.48619
863.724,0.555681,0.068174,0.433908,-1.85256,1.57052,-1.85073
863.725,0.555673,0.0681876,0.433888,-1.71459,1.57024,-1.71279
863.726,0.555664,0.0682013,0.43387,-1.67596,1.57,-1.6742
863.727,0.555655,0.0682146,0.433857,-1.66011,1.56982,-1.6584
863.728,0.555647,0.0682269,0.433848,-1.65301,1.5697,-1.65137
863.729,0.555639,0.0682376,0.433844,-1.65118,1.56965,-1.64961
863.73,0.555632,0.068246,0.433846,-1.65333,1.56968,-1.65182
863.731,0.555626,0.068252,0.433853,-1.65961,1.56978,-1.65817
863.732,0.555622,0.068255,0.433865,-1.6735,1.56994,-1.67211
863.733,0.55562,0.068255,0.433882,-1.70431,1.57017,-1.70297
863.734,0.55562,0.068252,0.433902,-1.79343,1.57044,-1.79213
863.735,0.555622,0.0682455,0.433924,-2.6548,1.57071,-2.65354
863.736,0.555625,0.0682362,0.433948,1.80366,1.5705,1.80488
863.737,0.555631,0.0682248,0.433972,1.67366,1.57017,1.67487
863.738,0.555637,0.0682118,0.433995,1.63492,1.56986,1.63613
863.739,0.555645,0.0681977,0.434015,1.61717,1.56957,1.61839
863.74,0.555654,0.0681834,0.434033,1.60735,1.56932,1.6086
863.741,0.555662,0.0681695,0.434046,1.60151,1.56914,1.6028
863.742,0.555671,0.0681567,0.434055,1.59821,1.56902,1.59955
863.743,0.555679,0.0681456,0.434059,1.59687,1.56897,1.59828
