time,x,y,z,roll,pitch,yaw
863.548,0.555551,-0.0643756,0.43382,-1.61813,-1.56906,-1.54129
863.549,0.555602,-0.0643131,0.433829,-1.62176,-1.5692,-1.5375
863.55,0.555666,-0.0642329,0.433841,-1.62742,-1.5694,-1.53071
863.551,0.55574,-0.064139,0.433857,-1.63705,-1.56966,-1.51903
863.552,0.55582,-0.0640359,0.433875,-1.65677,-1.56996,-1.49642
863.553,0.5559,-0.063933,0.433894,-1.70781,-1.57028,-1.4418
863.554,0.555977,-0.0638314,0.433914,-1.945,-1.5706,-1.20055
863.555,0.55605,-0.063736,0.433934,2.06136,-1.57064,1.08063
863.556,0.556113,-0.0636518,0.433951,1.75418,-1.57035,1.39216
863.557,0.556164,-0.0635834,0.433967,1.69768,-1.57009,1.45287
863.558,0.5562,-0.0635344,0.433979,1.678,-1.56988,1.47642
863.559,0.556219,-0.0635075,0.433988,1.67036,-1.56974,1.48739
863.56,0.556221,-0.0635043,0.433993,1.66787,-1.56966,1.4925
863.561,0.556203,-0.0635252,0.433994,1.66892,-1.56966,1.49322
863.562,0.556169,-0.0635694,0.43399,1.67313,-1.56973,1.48985
863.563,0.556118,-0.0636347,0.433982,1.68152,-1.56987,1.48131
863.564,0.556054,-0.0637179,0.433971,1.69969,-1.57007,1.46201
863.565,0.555979,-0.0638151,0.433956,1.74667,-1.57032,1.41295
863.566,0.555905,-0.0639118,0.433939,1.96766,-1.57061,1.18904
863.567,0.555832,-0.0640079,0.433919,-1.96393,-1.57063,-1.16613
863.568,0.555758,-0.0641035,0.433899,-1.68966,-1.57031,-1.44443
863.569,0.555688,-0.0641944,0.433879,-1.64087,-1.56999,-1.49723
863.57,0.555626,-0.0642754,0.43386,-1.62364,-1.56969,-1.51846
863.571,0.555574,-0.0643422,0.433844,-1.61653,-1.56943,-1.52951
863.572,0.555536,-0.0643912,0.43383,-1.61354,-1.56922,-1.53617
863.573,0.555515,-0.0644199,0.433821,-1.61261,-1.56907,-1.54032
863.574,0.55551,-0.0644266,0.433816,-1.61305,-1.56899,-1.54249
863.575,0.555524,-0.0644107,0.433816,-1.61467,-1.56898,-1.54274
863.576,0.555554,-0.0643728,0.43382,-1.61746,-1.56905,-1.54095
863.577,0.555601,-0.0643146,0.433828,-1.62161,-1.56919,-1.53688
863.578,0.555661,-0.0642387,0.43384,-1.62761,-1.56939,-1.53003
863.579,0.555732,-0.0641487,0.433855,-1.63748,-1.56964,-1.5184
863.58,0.55581,-0.064049,0.433873,-1.65632,-1.56993,-1.49696
863.581,0.555886,-0.0639497,0.433893,-1.70205,-1.57025,-1.44794
863.582,0.555962,-0.0638509,0.433913,-1.89746,-1.57057,-1.24872
863.583,0.556033,-0.0637574,0.433932,2.14259,-1.57066,0.998556
863.584,0.556096,-0.0636741,0.433951,1.75772,-1.57037,1.38756
863.585,0.556147,-0.0636053,0.433966,1.69667,-1.57011,1.45267
863.586,0.556185,-0.0635549,0.433979,1.67611,-1.5699,1.47703
863.587,0.556206,-0.0635256,0.433988,1.66789,-1.56975,1.48858
863.588,0.556209,-0.0635191,0.433993,1.66563,-1.56967,1.49353
863.589,0.556195,-0.0635358,0.433994,1.66695,-1.56966,1.49412
863.59,0.556164,-0.0635753,0.433991,1.67119,-1.56972,1.4909
863.591,0.556117,-0.0636356,0.433983,1.68034,-1.56986,1.48182
863.592,0.556056,-0.0637137,0.433971,1.69931,-1.57006,1.46196
863.593,0.555985,-0.063806,0.433956,1.74551,-1.57031,1.41395
863.594,0.555907,-0.0639076,0.433939,1.94903,-1.57059,1.20776
863.595,0.555829,-0.0640087,0.43392,-2.0401,-1.57065,-1.08968
863.596,0.555751,-0.064109,0.4339,-1.69928,-1.57033,-1.43441
863.597,0.555678,-0.0642035,0.43388,-1.64293,-1.57001,-1.49501
863.598,0.555613,-0.0642876,0.433862,-1.62379,-1.56972,-1.51838
863.599,0.55556,-0.0643567,0.433845,-1.61638,-1.56945,-1.52995
863.6,0.555521,-0.0644072,0.433832,-1.6139,-1.56924,-1.53631
863.601,0.555499,-0.0644365,0.433822,-1.61377,-1.56909,-1.53984
863.602,0.555495,-0.0644428,0.433817,-1.61485,-1.569,-1.54151
863.603,0.55551,-0.0644256,0.433816,-1.61667,-1.56899,-1.54163
863.604,0.555542,-0.0643856,0.433819,-1.61921,-1.56905,-1.54011
863.605,0.555591,-0.0643245,0.433827,-1.62279,-1.56918,-1.53657
863.606,0.555654,-0.0642452,0.433839,-1.62824,-1.56938,-1.53019
863.607,0.555728,-0.0641516,0.433854,-1.6372,-1.56962,-1.51933
863.608,0.555809,-0.064048,0.433872,-1.65471,-1.56991,-1.49906
863.609,0.555889,-0.0639448,0.433891,-1.69699,-1.57022,-1.45331
863.61,0.555968,-0.063842,0.433911,-1.8577,-1.57054,-1.28859
863.611,0.556041,-0.0637449,0.433931,2.30528,-1.57069,0.835953
863.612,0.556107,-0.0636584,0.433949,1.77057,-1.57041,1.375
863.613,0.55616,-0.0635871,0.433965,1.69951,-1.57014,1.4503
863.614,0.556198,-0.0635349,0.433978,1.67683,-1.56993,1.47692
863.615,0.55622,-0.0635046,0.433987,1.66869,-1.56977,1.4885
863.616,0.556224,-0.063498,0.433993,1.66643,-1.56968,1.49352
863.617,0.556209,-0.0635156,0.433994,1.66789,-1.56966,1.49401
863.618,0.556177,-0.0635567,0.433991,1.67235,-1.56972,1.49056
863.619,0.556128,-0.0636195,0.433984,1.68058,-1.56985,1.48237
863.62,0.556065,-0.0637007,0.433973,1.69749,-1.57004,1.46449
863.621,0.555991,-0.0637966,0.433958,1.73841,-1.57028,1.42165
863.622,0.555918,-0.063892,0.433941,1.89573,-1.57056,1.26154
863.623,0.555841,-0.0639926,0.433922,-2.21276,-1.57068,-0.916622
863.624,0.555764,-0.0640924,0.433902,-1.71742,-1.57038,-1.41596
863.625,0.555691,-0.0641874,0.433882,-1.65087,-1.57005,-1.48681
863.626,0.555625,-0.0642728,0.433863,-1.62802,-1.56975,-1.51395
863.627,0.55557,-0.064344,0.433847,-1.61835,-1.56948,-1.52782
863.628,0.555529,-0.0643973,0.433833,-1.61419,-1.56926,-1.5359
863.629,0.555504,-0.0644299,0.433823,-1.61291,-1.5691,-1.54061
863.63,0.555497,-0.0644399,0.433817,-1.61346,-1.56901,-1.54284
863.631,0.555509,-0.0644266,0.433816,-1.61534,-1.56899,-1.54295
863.632,0.555538,-0.0643905,0.433819,-1.61828,-1.56904,-1.54109
863.633,0.555585,-0.0643331,0.433826,-1.62229,-1.56916,-1.53719
863.634,0.555645,-0.064257,0.433838,-1.62769,-1.56935,-1.53092
863.635,0.555717,-0.0641659,0.433852,-1.63628,-1.56959,-1.52052
863.636,0.555797,-0.0640642,0.43387,-1.6523,-1.56988,-1.50182
863.637,0.555875,-0.0639629,0.433889,-1.68957,-1.57019,-1.46115
863.638,0.555953,-0.0638619,0.433909,-1.82353,-1.57051,-1.32323
863.639,0.556026,-0.0637658,0.433929,2.54905,-1.57071,0.591652
863.64,0.556092,-0.0636792,0.433947,1.78461,-1.57043,1.36037
863.641,0.556146,-0.0636068,0.433964,1.70315,-1.57017,1.44605
863.642,0.556187,-0.0635526,0.433977,1.67744,-1.56994,1.4757
863.643,0.556211,-0.0635196,0.433987,1.66727,-1.56978,1.48933
863.644,0.556217,-0.0635095,0.433993,1.66429,-1.56969,1.49513
863.645,0.556205,-0.0635232,0.433995,1.66545,-1.56966,1.496
863.646,0.556176,-0.0635601,0.433992,1.66965,-1.56971,1.49292
863.647,0.556131,-0.0636186,0.433985,1.67844,-1.56983,1.48429
863.648,0.556071,-0.0636958,0.433974,1.6957,-1.57002,1.46621
863.649,0.556,-0.063788,0.433959,1.73463,-1.57026,1.42551
863.65,0.555921,-0.0638906,0.433942,1.87515,-1.57053,1.28234
863.651,0.555842,-0.0639925,0.433923,-2.41976,-1.5707,-0.709319
863.652,0.555764,-0.0640939,0.433903,-1.73211,-1.5704,-1.40092
863.653,0.555689,-0.0641904,0.433884,-1.65485,-1.57008,-1.48248
863.654,0.555622,-0.0642772,0.433865,-1.63002,-1.56978,-1.51158
863.655,0.555567,-0.0643498,0.433848,-1.61995,-1.56951,-1.52589
863.656,0.555525,-0.0644043,0.433834,-1.61577,-1.56928,-1.53404
863.657,0.5555,-0.0644378,0.433824,-1.61433,-1.56912,-1.53898
863.658,0.555493,-0.0644485,0.433818,-1.6144,-1.56902,-1.54178
863.659,0.555504,-0.0644355,0.433816,-1.61547,-1.56899,-1.54279
863.66,0.555534,-0.0643995,0.433819,-1.61744,-1.56904,-1.54197
863.661,0.55558,-0.0643418,0.433826,-1.62057,-1.56915,-1.53903
863.662,0.555641,-0.0642652,0.433837,-1.62547,-1.56933,-1.53331
863.663,0.555713,-0.0641733,0.433851,-1.63346,-1.56957,-1.52356
863.664,0.555794,-0.0640706,0.433868,-1.64858,-1.56985,-1.50578
863.665,0.555873,-0.0639682,0.433887,-1.68313,-1.57015,-1.46783
863.666,0.555951,-0.0638662,0.433907,-1.79483,-1.57048,-1.35218
863.667,0.556025,-0.0637688,0.433926,2.97693,-1.57072,0.163549
863.668,0.556091,-0.0636808,0.433945,1.80679,-1.57047,1.33798
863.669,0.556146,-0.0636071,0.433962,1.70941,-1.5702,1.43961
863.67,0.556188,-0.0635515,0.433975,1.68069,-1.56997,1.4723
863.671,0.556212,-0.0635171,0.433986,1.67011,-1.5698,1.48639
863.672,0.55622,-0.0635059,0.433992,1.66649,-1.56969,1.49287
863.673,0.556209,-0.0635186,0.433994,1.66694,-1.56966,1.4945
863.674,0.55618,-0.0635547,0.433992,1.6704,-1.5697,1.49222
863.675,0.556135,-0.0636127,0.433986,1.67727,-1.56981,1.48556
863.676,0.556076,-0.0636896,0.433975,1.69159,-1.56999,1.47046
863.677,0.556004,-0.0637818,0.433961,1.725,-1.57022,1.43533
863.678,0.555925,-0.0638847,0.433945,1.83627,-1.5705,1.32145
863.679,0.555846,-0.0639869,0.433926,-2.83392,-1.57072,-0.294904
863.68,0.555768,-0.0640885,0.433906,-1.7505,-1.57044,-1.38226
863.681,0.555693,-0.0641854,0.433886,-1.65973,-1.57012,-1.47732
863.682,0.555625,-0.0642729,0.433867,-1.63213,-1.56981,-1.5092
863.683,0.555568,-0.0643463,0.433849,-1.62112,-1.56954,-1.52446
863.684,0.555525,-0.0644017,0.433835,-1.61652,-1.5693,-1.53306
863.685,0.555499,-0.0644362,0.433824,-1.61498,-1.56913,-1.53816
863.686,0.555491,-0.0644479,0.433818,-1.61504,-1.56902,-1.54102
863.687,0.555502,-0.0644359,0.433816,-1.61608,-1.56898,-1.54211
863.688,0.555531,-0.0644008,0.433818,-1.6179,-1.56902,-1.54153
863.689,0.555576,-0.0643439,0.433825,-1.62059,-1.56913,-1.53909
863.69,0.555637,-0.0642679,0.433835,-1.62467,-1.5693,-1.53427
863.691,0.555709,-0.0641764,0.43385,-1.63127,-1.56953,-1.52596
863.692,0.55579,-0.0640739,0.433867,-1.64399,-1.56981,-1.51062
863.693,0.555869,-0.0639716,0.433886,-1.67335,-1.57012,-1.47788
863.694,0.555947,-0.0638698,0.433905,-1.76446,-1.57044,-1.38282
863.695,0.556021,-0.0637722,0.433925,-2.84969,-1.57072,-0.293281
863.696,0.556088,-0.0636837,0.433944,1.82119,-1.5705,1.32333
863.697,0.556144,-0.0636092,0.433961,1.71177,-1.57022,1.43701
863.698,0.556186,-0.0635526,0.433974,1.68168,-1.56998,1.47111
863.699,0.556211,-0.0635169,0.433985,1.67102,-1.56981,1.48532
