time,x,y,z,roll,pitch,yaw
863.548,4.33693e-07,-3.35555e-07,0.15643,-3.14159,4.78518e-06,1.65433e-05
863.549,4.40194e-07,-3.34339e-07,0.15643,-3.14159,4.86229e-06,1.35232e-05
863.55,4.48032e-07,-3.38347e-07,0.15643,-3.14159,4.95396e-06,8.87965e-06
863.551,4.02369e-07,-3.0828e-07,0.15643,-3.14159,4.41989e-06,-3.69518e-07
863.552,4.16165e-07,-3.54548e-07,0.15643,-3.14159,4.54939e-06,-3.36983e-06
863.553,4.46141e-07,-3.7162e-07,0.15643,-3.14159,4.90271e-06,-1.02137e-05
863.554,4.04663e-07,-3.42057e-07,0.15643,-3.14159,4.41737e-06,-2.29215e-05
863.555,4.24106e-07,-3.86722e-07,0.15643,-3.14159,4.61627e-06,-3.07747e-05
863.556,4.62971e-07,-4.1817e-07,0.15643,-3.14159,5.07249e-06,-4.05747e-05
863.557,4.22079e-07,-4.0071e-07,0.15643,-3.14159,4.58911e-06,-5.42188e-05
863.558,4.43253e-07,-4.59619e-07,0.15643,-3.14159,4.81306e-06,-5.9458e-05
863.559,4.84847e-07,-4.95358e-07,0.15643,-3.14159,5.30186e-06,-6.44924e-05
863.56,4.40518e-07,-4.71826e-07,0.15643,-3.14159,4.77988e-06,-7.17449e-05
863.561,4.53935e-07,-5.24124e-07,0.15643,-3.14159,4.91592e-06,-6.9263e-05
863.562,4.90544e-07,-5.42487e-07,0.15643,-3.14159,5.3517e-06,-6.72034e-05
863.563,4.43076e-07,-5.02853e-07,0.15643,-3.14159,4.80036e-06,-6.78363e-05
863.564,4.51599e-07,-5.36423e-07,0.15643,-3.14159,4.88472e-06,-5.99665e-05
863.565,4.81486e-07,-5.40513e-07,0.15643,-3.14159,5.2467e-06,-5.30668e-05
863.566,4.32579e-07,-4.92286e-07,0.15643,-3.14159,4.68432e-06,-4.92258e-05
863.567,4.36085e-07,-5.12313e-07,0.15643,-3.14159,4.71467e-06,-3.76537e-05
863.568,4.57172e-07,-5.04893e-07,0.15643,-3.14159,4.97782e-06,-2.68258e-05
863.569,4.5872e-07,-4.84941e-07,0.15643,-3.14159,5.01025e-06,-1.62489e-05
863.57,4.07191e-07,-4.27111e-07,0.15643,-3.14159,4.42472e-06,-8.38318e-06
863.571,4.03741e-07,-4.19926e-07,0.15643,-3.14159,4.37196e-06,3.42825e-06
863.572,4.12389e-07,-3.87942e-07,0.15643,-3.14159,4.4956e-06,1.04487e-05
863.573,4.14487e-07,-3.62986e-07,0.15643,-3.14159,4.53496e-06,1.49837e-05
863.574,4.16634e-07,-3.44799e-07,0.15643,-3.14159,4.57112e-06,1.68233e-05
863.575,4.2027e-07,-3.3384e-07,0.15643,-3.14159,4.62129e-06,1.62345e-05
863.576,4.25969e-07,-3.30092e-07,0.15643,-3.14159,4.69229e-06,1.37095e-05
863.577,4.3315e-07,-3.33802e-07,0.15643,-3.14159,4.77865e-06,9.80132e-06
863.578,3.88862e-07,-3.05462e-07,0.15643,-3.14159,4.26235e-06,1.95922e-06
863.579,4.00039e-07,-3.3524e-07,0.15643,-3.14159,4.368e-06,-2.08515e-06
863.58,4.33384e-07,-3.65867e-07,0.15643,-3.14159,4.75896e-06,-5.79406e-06
863.581,3.93021e-07,-3.37395e-07,0.15643,-3.14159,4.28708e-06,-1.53692e-05
863.582,4.11304e-07,-3.72773e-07,0.15643,-3.14159,4.47584e-06,-2.09833e-05
863.583,4.48597e-07,-3.96477e-07,0.15643,-3.14159,4.91486e-06,-2.92034e-05
863.584,4.09265e-07,-3.7431e-07,0.15643,-3.14159,4.4516e-06,-4.23852e-05
863.585,4.31319e-07,-4.28507e-07,0.15643,-3.14159,4.68658e-06,-4.87261e-05
863.586,4.742e-07,-4.64514e-07,0.15643,-3.14159,5.18928e-06,-5.56915e-05
863.587,4.32152e-07,-4.44779e-07,0.15643,-3.14159,4.69213e-06,-6.5333e-05
863.588,4.48321e-07,-5.02754e-07,0.15643,-3.14159,4.85843e-06,-6.53206e-05
863.589,4.87495e-07,-5.2723e-07,0.15643,-3.14159,5.32182e-06,-6.55704e-05
863.59,4.41343e-07,-4.92418e-07,0.15643,-3.14159,4.78349e-06,-6.8335e-05
863.591,4.51544e-07,-5.31051e-07,0.15643,-3.14159,4.88596e-06,-6.23008e-05
863.592,4.83154e-07,-5.38873e-07,0.15643,-3.14159,5.26669e-06,-5.72315e-05
863.593,4.34668e-07,-4.9333e-07,0.15643,-3.14159,4.70768e-06,-5.51712e-05
863.594,4.40088e-07,-5.17854e-07,0.15643,-3.14159,4.75887e-06,-4.54096e-05
863.595,4.65185e-07,-5.1594e-07,0.15643,-3.14159,5.06688e-06,-3.67053e-05
863.596,4.16176e-07,-4.65426e-07,0.15643,-3.14159,4.50673e-06,-3.07276e-05
863.597,4.16784e-07,-4.7654e-07,0.15643,-3.14159,4.50613e-06,-1.80835e-05
863.598,4.34447e-07,-4.6255e-07,0.15643,-3.14159,4.73053e-06,-6.96517e-06
863.599,4.36889e-07,-4.39349e-07,0.15643,-3.14159,4.77373e-06,3.06559e-06
863.6,4.32382e-07,-4.02045e-07,0.15643,-3.14159,4.73661e-06,9.39695e-06
863.601,4.32145e-07,-3.80132e-07,0.15643,-3.14159,4.74455e-06,1.50122e-05
863.602,4.31826e-07,-3.61905e-07,0.15643,-3.14159,4.74986e-06,1.87587e-05
863.603,4.31968e-07,-3.46505e-07,0.15643,-3.14159,4.75888e-06,2.04219e-05
863.604,4.33726e-07,-3.35411e-07,0.15643,-3.14159,4.78475e-06,2.00095e-05
