time,x,y,z,roll,pitch,yaw
863.548,0.288635,0.00154794,0.433951,3.04298,-1.57026,-1.47086
863.549,0.288636,0.00154591,0.43395,3.03618,-1.57027,-1.46405
863.55,0.288637,0.00154304,0.43395,3.02498,-1.5703,-1.45282
863.551,0.288638,0.00153948,0.433949,3.00963,-1.57033,-1.43744
863.552,0.288639,0.00153535,0.433948,2.98729,-1.57037,-1.41506
863.553,0.28864,0.00153081,0.433948,2.95626,-1.57041,-1.38399
863.554,0.28864,0.00152628,0.433947,2.91819,-1.57045,-1.34587
863.555,0.288641,0.00152194,0.433946,2.87008,-1.57049,-1.29772
863.556,0.288641,0.00151801,0.433946,2.81406,-1.57053,-1.24167
863.557,0.288641,0.00151464,0.433946,2.75482,-1.57056,-1.18239
863.558,0.288641,0.00151187,0.433945,2.69295,-1.57058,-1.12049
863.559,0.288641,0.00150986,0.433945,2.63907,-1.5706,-1.06659
863.56,0.288641,0.00150869,0.433945,2.60608,-1.57061,-1.03359
863.561,0.288641,0.00150837,0.433945,2.59698,-1.57061,-1.02448
863.562,0.288641,0.001509,0.433946,2.61988,-1.57061,-1.04738
863.563,0.28864,0.00151061,0.433946,2.67302,-1.5706,-1.10054
863.564,0.28864,0.00151309,0.433946,2.73903,-1.57058,-1.16657
863.565,0.288639,0.0015164,0.433947,2.80799,-1.57055,-1.23556
863.566,0.288639,0.00152067,0.433948,2.87683,-1.57051,-1.30444
863.567,0.288638,0.00152542,0.433948,2.92918,-1.57047,-1.35683
863.568,0.288637,0.00153023,0.433949,2.96479,-1.57042,-1.39249
863.569,0.288636,0.00153481,0.43395,2.98869,-1.57038,-1.41644
863.57,0.288635,0.00153894,0.43395,3.00599,-1.57034,-1.43378
863.571,0.288635,0.00154238,0.433951,3.01854,-1.57031,-1.44637
863.572,0.288634,0.00154505,0.433951,3.02906,-1.57028,-1.45692
863.573,0.288634,0.00154688,0.433951,3.03752,-1.57026,-1.46539
863.574,0.288634,0.0015478,0.433951,3.04296,-1.57025,-1.47084
863.575,0.288634,0.00154778,0.433951,3.04432,-1.57025,-1.47221
863.576,0.288635,0.00154683,0.433951,3.04105,-1.57026,-1.46893
863.577,0.288636,0.00154498,0.43395,3.03321,-1.57027,-1.46108
863.578,0.288637,0.00154233,0.43395,3.02185,-1.5703,-1.4497
863.579,0.288638,0.00153895,0.433949,3.00574,-1.57033,-1.43355
863.58,0.288638,0.00153503,0.433949,2.98483,-1.57037,-1.4126
863.581,0.288639,0.00153071,0.433948,2.95762,-1.57041,-1.38535
863.582,0.28864,0.00152634,0.433947,2.92196,-1.57045,-1.34965
863.583,0.288641,0.00152221,0.433947,2.87817,-1.57049,-1.30582
863.584,0.288641,0.00151852,0.433946,2.82842,-1.57053,-1.25603
863.585,0.288641,0.00151533,0.433946,2.7712,-1.57055,-1.19878
863.586,0.288641,0.00151277,0.433945,2.71348,-1.57058,-1.14102
863.587,0.288642,0.00151093,0.433945,2.66536,-1.57059,-1.09289
863.588,0.288641,0.00150981,0.433945,2.62997,-1.5706,-1.05747
863.589,0.288641,0.00150952,0.433945,2.61852,-1.57061,-1.04602
863.59,0.288641,0.00151013,0.433946,2.63736,-1.57061,-1.06486
863.591,0.28864,0.00151159,0.433946,2.67776,-1.5706,-1.10527
863.592,0.28864,0.00151394,0.433946,2.73487,-1.57058,-1.16241
863.593,0.288639,0.00151712,0.433947,2.79954,-1.57055,-1.2271
863.594,0.288639,0.00152092,0.433948,2.85837,-1.57052,-1.28596
863.595,0.288638,0.00152536,0.433948,2.91121,-1.57048,-1.33885
863.596,0.288637,0.00153004,0.433949,2.95336,-1.57044,-1.38104
863.597,0.288636,0.00153465,0.433949,2.98319,-1.57039,-1.41091
863.598,0.288635,0.00153897,0.43395,3.00432,-1.57035,-1.43209
863.599,0.288635,0.00154281,0.43395,3.01927,-1.57032,-1.44708
863.6,0.288634,0.00154598,0.433951,3.02991,-1.57028,-1.45775
863.601,0.288634,0.0015483,0.433951,3.03704,-1.57026,-1.46491
863.602,0.288634,0.00154963,0.433951,3.04121,-1.57025,-1.46909
863.603,0.288634,0.00154991,0.433951,3.04233,-1.57024,-1.47022
863.604,0.288635,0.00154913,0.433951,3.04001,-1.57025,-1.46789
863.605,0.288636,0.00154734,0.43395,3.03378,-1.57027,-1.46165
863.606,0.288636,0.00154465,0.43395,3.02325,-1.57029,-1.4511
863.607,0.288637,0.0015412,0.433949,3.00869,-1.57032,-1.43651
863.608,0.288638,0.00153713,0.433949,2.988,-1.57036,-1.41577
863.609,0.288639,0.00153254,0.433948,2.95917,-1.57041,-1.3869
863.61,0.28864,0.00152789,0.433947,2.92458,-1.57045,-1.35227
863.611,0.288641,0.00152338,0.433947,2.88088,-1.57049,-1.30852
863.612,0.288641,0.00151929,0.433946,2.8289,-1.57053,-1.2565
863.613,0.288642,0.00151581,0.433946,2.77175,-1.57056,-1.19931
